
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, ring code: ( 156.25, 906.25, -62.50 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, accelerometer code: ( -31.25, 906.25, 437.50 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, gyrob code: ( -281.25, -906.25, 718.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, Thumb code: ( -281.25, -906.25, 687.50 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, index code: ( -31.25, 906.25, 375.00 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, middle code: ( 281.25, 937.50, 312.50 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, pinky code: ( -93.75, 937.50, 93.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, ring code: ( 156.25, 906.25, -31.25 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, accelerometer code: ( -31.25, 906.25, 375.00 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, gyrob code: ( -281.25, -906.25, 687.50 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, Thumb code: ( -312.50, -843.75, 718.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, index code: ( 0.00, 843.75, 437.50 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, middle code: ( 281.25, 906.25, 312.50 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, pinky code: ( -62.50, 937.50, 62.50 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, ring code: ( 187.50, 906.25, -31.25 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, accelerometer code: ( 0.00, 843.75, 437.50 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, gyrob code: ( -312.50, -843.75, 718.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, Thumb code: ( -281.25, -875.00, 718.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, index code: ( -31.25, 875.00, 468.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, middle code: ( 250.00, 843.75, 343.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, pinky code: ( -93.75, 937.50, 93.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, ring code: ( 156.25, 875.00, -62.50 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, accelerometer code: ( -31.25, 875.00, 468.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, gyrob code: ( -281.25, -875.00, 718.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, Thumb code: ( -250.00, -843.75, 718.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, index code: ( -62.50, 906.25, 468.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, middle code: ( 218.75, 875.00, 312.50 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, pinky code: ( -93.75, 937.50, 125.00 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, ring code: ( 156.25, 906.25, -62.50 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, accelerometer code: ( -62.50, 906.25, 468.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, gyrob code: ( -250.00, -843.75, 718.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, Thumb code: ( -250.00, -593.75, 687.50 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, index code: ( 125.00, 937.50, 343.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, middle code: ( 312.50, 937.50, 281.25 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, pinky code: ( -187.50, 1062.50, 281.25 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, ring code: ( 187.50, 1031.25, -62.50 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, accelerometer code: ( 125.00, 937.50, 343.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, gyrob code: ( -250.00, -593.75, 687.50 )
